Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Position
Malcolm Brogdon,WAS,32,15,2,13,25.3,14.5,5.0,11.0,45.5,1.0,2.9,34.1,3.5,4.0,86.7,1.0,3.2,4.2,3.8,1.9,0.7,0.3,1.7,26.1,2,0,-9.0,Guard
Josh Hart,NYK,29,32,22,10,37.1,14.4,5.4,9.4,57.6,1.4,3.5,39.3,2.2,2.7,81.4,1.8,6.8,8.6,5.5,1.8,1.5,0.4,2.4,36.7,13,3,6.3,Guard
Jeremy Sochan,SAS,21,19,8,11,30.0,14.4,5.6,10.7,52.7,0.5,1.7,27.3,2.7,3.7,72.9,2.7,5.7,8.4,2.8,1.9,0.9,0.7,2.6,31.5,6,0,-0.7,Forward
Christian Braun,DEN,23,30,17,13,33.7,14.1,5.4,9.7,55.9,0.9,2.5,36.8,2.4,3.0,80.0,1.2,3.6,4.8,2.0,1.2,1.3,0.6,2.3,27.4,0,0,6.2,Guard
Tre Mann,CHA,23,13,6,7,24.5,14.1,5.4,12.4,43.5,1.8,4.6,40.0,1.5,1.6,90.5,0.9,2.0,2.9,3.0,1.9,0.5,0.3,1.8,22.7,0,0,-4.2,Guard
Klay Thompson,DAL,34,28,16,12,27.7,14.1,5.1,12.2,41.6,3.0,7.9,38.0,0.9,1.0,89.7,0.6,2.8,3.4,1.9,1.2,1.0,0.4,1.4,23.9,0,0,6.3,Guard
Bobby Portis,MIL,29,29,15,14,25.2,14.1,5.8,12.3,47.3,1.4,3.7,37.4,1.0,1.3,76.9,1.8,6.0,7.8,2.2,1.3,0.7,0.6,1.7,29.4,5,0,-1.8,Forward
Dillon Brooks,HOU,28,29,19,10,31.9,13.9,5.0,11.8,42.8,2.3,6.1,38.6,1.5,1.8,86.3,1.3,2.7,4.0,1.6,1.1,0.7,0.3,3.3,22.9,0,0,6.1,Guard-Forward
Aaron Gordon,DEN,29,17,10,7,28.7,13.7,4.8,9.1,52.3,1.3,2.9,44.0,2.9,3.8,75.4,1.9,3.9,5.8,3.1,1.4,0.5,0.2,1.8,25.8,2,0,5.5,Forward
Khris Middleton,MIL,33,9,5,4,22.8,13.7,4.9,10.7,45.8,2.0,4.1,48.6,1.9,2.3,81.0,0.2,3.9,4.1,5.3,2.4,1.0,0.2,2.8,27.8,0,0,5.0,Forward
Deni Avdija,POR,23,31,11,20,26.6,13.3,4.3,9.7,44.7,1.4,4.0,35.8,3.2,4.1,78.1,1.3,4.5,5.8,3.2,2.1,0.9,0.7,2.2,27.8,2,0,-5.7,Forward
Bilal Coulibaly,WAS,20,28,5,23,34.7,13.3,4.8,11.1,42.8,1.2,4.0,29.7,2.6,3.3,78.5,1.4,4.3,5.6,3.7,2.1,1.4,0.8,2.5,30.3,1,0,-11.3,Guard
Jarrett Allen,CLE,26,32,28,4,29.2,13.3,5.4,7.9,68.7,0.0,0.0,0.0,2.4,3.3,73.6,2.3,7.7,10.0,1.9,1.1,1.0,0.8,1.3,32.5,18,0,6.4,Center
Dyson Daniels,ATL,21,29,16,13,33.6,13.0,5.4,11.9,45.7,1.2,3.8,32.7,0.9,1.5,60.5,1.6,3.5,5.1,3.5,1.9,3.1,0.9,2.5,34.4,1,0,-2.0,Guard
Santi Aldama,MEM,23,31,21,10,25.7,13.0,5.1,10.0,50.8,1.7,4.5,38.8,1.1,1.4,76.7,1.5,5.7,7.3,3.0,1.2,0.9,0.5,1.0,29.3,8,0,6.0,Forward-Center
Moritz Wagner,ORL,27,30,18,12,18.8,12.9,4.7,8.3,56.2,0.9,2.5,36.0,2.6,3.7,71.8,1.3,3.6,4.9,1.4,1.6,0.8,0.4,1.8,22.9,1,0,-0.6,Forward-Center
Tobias Harris,DET,32,30,13,17,31.5,12.7,4.8,11.1,42.9,1.3,4.2,32.0,1.9,2.2,84.8,1.0,5.3,6.3,2.4,1.1,0.8,0.9,2.0,27.6,2,0,-1.8,Forward
Kelly Oubre Jr.,PHI,29,29,12,17,32.3,12.7,4.9,10.8,45.0,1.3,4.3,29.4,1.7,2.4,71.0,1.6,4.1,5.7,1.5,1.2,1.2,0.5,2.8,25.6,3,0,-3.6,Forward-Guard
Ayo Dosunmu,CHI,24,30,13,17,30.8,12.6,4.9,10.0,49.0,1.3,4.2,32.0,1.4,1.8,79.6,0.6,3.3,3.9,4.8,1.3,0.8,0.5,2.3,27.0,1,1,-4.6,Guard
Buddy Hield,GSW,32,32,16,16,22.8,12.6,4.5,10.5,42.9,2.8,7.2,39.3,0.8,0.8,92.3,0.6,2.8,3.4,1.2,1.3,0.8,0.3,1.8,20.5,0,0,1.0,Guard
Isaiah Hartenstein,OKC,26,16,15,1,30.0,12.6,5.4,9.3,58.1,0.0,0.4,0.0,1.8,2.8,64.4,2.9,9.7,12.6,3.8,1.9,0.8,1.2,3.1,37.5,12,0,7.0,Center-Forward
Rui Hachimura,LAL,26,26,15,11,33.5,12.5,4.6,9.5,48.4,1.6,3.6,45.2,1.7,2.1,83.3,1.7,3.7,5.4,1.6,1.0,1.0,0.7,2.0,25.3,1,0,0.8,Forward
D'Angelo Russell,BKN,28,29,16,13,26.3,12.4,4.4,10.7,41.5,1.9,5.8,33.3,1.6,1.8,84.9,0.3,2.5,2.8,4.7,1.7,0.8,0.1,1.8,23.8,1,0,1.6,Guard
Tyus Jones,PHX,28,31,15,16,31.4,12.3,4.7,9.5,49.3,2.3,5.3,43.6,0.6,0.7,86.4,0.5,2.0,2.6,6.4,1.2,0.9,0.2,1.0,27.2,4,0,-2.5,Guard
Josh Giddey,CHI,22,29,14,15,27.3,12.3,4.7,10.4,44.9,1.2,4.0,31.0,1.8,2.4,72.9,1.4,5.5,6.9,7.0,2.7,1.0,0.4,1.4,32.7,6,2,-1.7,Guard
Brook Lopez,MIL,36,30,16,14,32.7,12.3,4.7,9.6,48.4,2.0,5.2,37.8,1.0,1.3,74.4,1.2,3.7,4.9,1.6,1.1,0.9,2.0,2.3,28.2,1,0,1.3,Center
Jrue Holiday,BOS,34,26,19,7,30.6,12.2,4.5,10.0,44.8,1.8,5.4,32.6,1.5,1.7,88.9,1.1,3.2,4.3,3.7,1.5,0.9,0.4,1.5,25.4,0,0,4.7,Guard
Daniel Gafford,DAL,26,31,19,12,20.7,12.2,5.0,7.0,72.2,0.0,0.0,0.0,2.2,3.2,67.7,2.5,3.6,6.2,1.2,1.0,0.5,1.3,2.6,25.8,2,0,0.7,Forward-Center
Naz Reid,MIN,25,31,17,14,24.4,12.2,4.5,10.0,45.5,1.7,4.9,34.6,1.4,1.7,81.1,0.7,4.2,4.9,1.7,1.2,0.7,0.8,2.4,23.8,1,0,1.8,Center-Forward
P.J. Washington,DAL,26,25,19,6,32.4,12.2,4.4,9.9,44.9,1.6,4.0,39.4,1.7,2.3,74.1,1.5,6.2,7.7,2.2,1.8,1.2,1.1,2.0,29.9,7,0,5.8,Forward
Julian Champagnie,SAS,23,32,16,16,28.3,12.2,4.2,9.7,43.1,2.6,7.1,37.0,1.2,1.3,90.2,0.7,4.1,4.8,1.4,1.1,0.9,0.6,1.6,23.2,0,0,1.7,Forward
Russell Westbrook,DEN,36,31,18,13,26.4,12.1,4.5,10.0,44.7,1.1,3.5,31.2,2.0,3.3,62.4,1.1,3.5,4.5,6.5,2.7,1.7,0.5,2.5,31.4,5,2,-1.2,Guard
Terry Rozier,MIA,30,27,13,14,28.7,12.0,4.3,10.8,39.7,1.7,5.3,32.2,1.7,2.0,88.7,0.7,3.3,4.0,2.7,1.5,0.7,0.4,1.4,22.8,0,0,-0.2,Guard
Bruce Brown,TOR,28,1,0,1,19.2,12.0,6.0,12.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,19.1,0,0,-6.0,Guard-Forward
Mark Williams,CHA,23,10,0,10,18.3,12.0,5.0,7.6,65.8,0.0,0.0,0.0,2.0,2.6,76.9,2.2,5.0,7.2,2.1,0.6,0.6,1.0,2.0,28.0,2,0,-5.7,Center
Keldon Johnson,SAS,25,29,14,15,24.7,12.0,4.5,10.0,44.8,1.0,3.7,26.9,2.0,2.7,75.3,1.1,3.9,5.0,1.6,0.8,0.8,0.2,1.6,22.5,1,0,-3.5,Forward-Guard
Amen Thompson,HOU,21,32,21,11,27.8,11.9,4.6,8.3,55.6,0.3,1.3,26.2,2.3,3.4,69.4,2.5,4.6,7.1,2.2,1.8,1.1,1.1,2.3,28.5,7,0,3.6,Guard-Forward
Caris LeVert,CLE,30,26,24,2,23.9,11.9,4.2,8.1,51.2,1.8,3.9,47.5,1.8,2.6,68.7,0.5,2.2,2.7,3.8,1.3,1.0,0.5,1.3,23.9,0,0,10.5,Guard
Jabari Smith Jr.,HOU,21,32,21,11,31.2,11.9,4.1,9.5,43.0,1.7,4.9,35.3,2.0,2.3,87.7,1.8,4.8,6.7,1.0,0.9,0.3,1.0,2.3,24.4,5,0,3.5,Forward
Keegan Murray,SAC,24,31,13,18,35.5,11.9,4.6,11.0,41.6,1.6,5.5,29.1,1.1,1.3,87.2,2.2,5.2,7.4,1.4,1.0,0.7,0.8,2.9,26.4,9,0,1.1,Forward
Jonas Valančiūnas,WAS,32,30,5,25,19.9,11.9,4.9,8.7,55.9,0.1,0.6,15.8,2.0,2.2,92.4,2.3,5.7,8.1,2.3,1.7,0.5,0.8,1.7,27.0,9,0,-6.6,Center
Jordan Hawkins,NOP,22,17,3,14,24.8,11.8,3.8,10.6,35.9,1.9,6.0,32.4,2.2,2.5,88.1,0.4,2.6,2.9,1.1,1.0,0.4,0.5,0.9,18.7,0,0,-7.4,Guard
Alexandre Sarr,WAS,19,27,4,23,27.3,11.6,4.4,10.8,40.5,1.5,4.7,31.7,1.4,2.2,63.3,1.9,4.2,6.1,2.1,1.5,0.7,1.8,2.8,28.1,2,0,-9.7,Center
Brandon Boston,NOP,23,30,3,27,25.4,11.5,4.3,9.7,44.2,1.3,3.6,34.9,1.6,2.0,80.3,0.6,2.7,3.3,2.7,1.4,1.4,0.2,1.8,23.2,0,0,-3.2,Guard
Scoot Henderson,POR,20,24,9,15,25.9,11.5,4.1,10.2,40.2,1.1,3.5,31.8,2.2,2.9,75.7,0.7,2.2,2.9,5.0,2.6,1.1,0.3,2.7,23.9,1,0,-4.8,Guard
Onyeka Okongwu,ATL,24,26,14,12,23.5,11.5,4.5,8.1,55.0,0.4,1.6,23.8,2.2,2.8,76.7,2.5,4.0,6.5,1.3,0.8,0.7,0.7,2.2,24.8,5,0,-1.4,Forward-Center
Corey Kispert,WAS,25,25,4,21,26.9,11.4,4.2,9.5,43.9,2.0,5.8,33.6,1.1,1.3,84.4,0.4,2.8,3.2,1.6,1.1,0.6,0.2,1.6,18.7,0,0,-6.4,Forward
Bogdan Bogdanović,ATL,32,14,8,6,25.5,11.3,3.9,9.5,40.6,2.1,6.4,33.7,1.4,1.5,95.2,0.6,2.5,3.1,2.2,1.8,0.9,0.3,2.6,20.0,0,0,-0.3,Guard
Ochai Agbaji,TOR,24,32,7,25,30.1,11.3,4.5,8.9,50.9,1.7,4.1,41.2,0.5,0.8,65.4,0.9,3.1,4.0,1.9,0.8,0.9,0.5,2.4,22.1,0,0,-5.0,Guard
Jaylen Wells,MEM,21,33,22,11,24.8,11.3,4.1,9.1,44.9,1.8,4.8,37.3,1.3,1.6,81.1,0.9,2.2,3.1,1.7,1.2,0.5,0.2,1.8,18.3,0,0,3.5,Forward
Tari Eason,HOU,23,24,16,8,22.8,11.3,4.4,9.2,47.5,1.0,3.0,31.5,1.5,2.0,75.5,2.1,4.2,6.3,1.0,0.8,1.9,1.0,2.5,28.3,2,0,3.8,Forward
Zach Edey,MEM,22,20,12,8,21.9,11.3,4.7,7.7,60.4,0.5,1.1,42.9,1.5,2.4,63.8,3.7,4.3,8.0,1.1,1.6,0.8,1.2,2.9,26.7,4,0,6.3,Center
Duncan Robinson,MIA,30,28,14,14,23.5,11.1,4.0,9.5,41.6,2.5,6.7,37.8,0.7,0.8,86.4,0.4,2.0,2.4,2.5,0.9,0.5,0.1,2.2,18.7,0,0,2.1,Forward
Herbert Jones,NOP,26,15,3,12,32.6,11.1,4.1,9.4,43.3,1.1,3.9,29.3,1.8,2.3,79.4,1.5,2.7,4.2,3.2,1.9,2.0,0.5,3.3,26.4,0,0,-2.3,Forward
T.J. McConnell,IND,32,32,16,16,19.7,11.0,5.0,9.1,55.0,0.2,0.7,30.4,0.8,1.1,74.3,0.7,1.9,2.6,4.3,1.6,1.2,0.3,1.0,23.3,1,0,-2.4,Guard
Andrew Nembhard,IND,24,18,11,7,26.7,10.9,4.1,8.4,48.0,0.8,2.3,34.1,2.1,2.3,88.1,0.4,2.7,3.1,4.9,1.8,0.8,0.2,1.8,22.9,0,0,4.3,Guard-Forward
Naji Marshall,DAL,26,26,15,11,23.2,10.9,4.3,8.2,52.8,0.8,2.4,31.7,1.4,1.6,88.1,0.9,2.3,3.3,2.2,1.3,0.8,0.1,1.4,19.5,0,0,1.8,Forward
Stephon Castle,SAS,20,31,15,16,25.1,10.9,3.8,10.0,38.3,1.0,3.7,26.7,2.2,3.1,70.8,0.6,1.8,2.5,3.6,1.9,0.8,0.3,1.7,20.8,0,0,-1.8,Guard
Scotty Pippen Jr.,MEM,24,33,22,11,22.5,10.8,4.2,8.7,47.7,1.1,3.1,36.6,1.4,2.1,67.1,0.7,2.8,3.5,5.1,2.1,1.1,0.4,2.4,24.8,6,1,1.3,Guard
Zaccharie Risacher,ATL,19,33,18,15,23.7,10.8,4.0,9.9,39.9,1.2,4.3,28.9,1.6,2.3,69.7,1.2,2.2,3.4,1.2,1.2,0.8,0.6,2.1,19.7,0,0,-1.8,Forward
Jose Alvarado,NOP,26,11,3,8,25.6,10.7,3.6,9.2,39.6,2.2,5.5,40.0,1.3,1.5,82.4,0.5,1.6,2.2,4.5,1.3,1.5,0.3,2.4,24.2,0,0,-6.9,Guard
Harrison Barnes,SAS,32,32,16,16,27.7,10.7,3.5,7.3,48.3,1.4,3.4,41.3,2.2,2.8,79.8,1.5,2.3,3.8,1.5,0.7,0.3,0.2,0.8,18.2,1,0,0.6,Forward
Justin Champagnie,WAS,23,13,3,10,25.8,10.5,4.2,7.8,53.9,1.4,3.7,37.5,0.7,1.1,64.3,2.4,4.6,7.0,1.1,1.2,1.2,0.9,2.5,25.9,2,0,-6.1,Guard-Forward
Rudy Gobert,MIN,32,31,17,14,33.8,10.5,4.0,6.3,63.6,0.0,0.0,0.0,2.5,3.5,70.9,3.5,7.2,10.7,1.7,1.5,0.7,1.4,2.6,30.8,14,0,1.2,Center
Obi Toppin,IND,26,30,14,16,19.9,10.5,4.1,7.4,55.4,1.3,3.5,35.8,1.0,1.2,86.1,0.7,3.4,4.1,1.7,0.6,0.8,0.4,1.6,20.8,0,0,-1.8,Forward
Royce O'Neale,PHX,31,31,15,16,26.3,10.5,3.7,8.3,44.7,2.5,5.7,44.1,0.5,0.7,76.2,1.0,4.6,5.6,2.4,1.0,1.0,0.6,2.3,24.4,0,0,-0.6,Forward
Grayson Allen,PHX,29,23,13,10,23.9,10.4,3.2,8.0,40.4,2.2,5.8,37.6,1.8,2.2,84.0,0.7,2.5,3.2,1.8,1.0,0.9,0.3,1.5,19.5,1,0,0.6,Guard
Dorian Finney-Smith,LAL,31,20,7,13,29.0,10.4,3.7,8.0,45.9,2.4,5.4,43.5,0.8,1.2,62.5,1.6,3.0,4.6,1.6,0.9,0.9,0.6,2.7,21.8,0,0,2.1,Forward
Walker Kessler,UTA,23,25,6,19,29.8,10.4,4.5,6.3,70.9,0.1,0.1,66.7,1.4,2.6,52.3,4.0,7.0,11.0,1.6,1.5,0.5,2.8,2.3,34.4,12,0,-6.4,Center
Grant Williams,CHA,26,16,6,10,29.9,10.4,3.4,7.7,43.9,1.7,4.6,36.5,1.9,2.3,83.8,1.1,4.0,5.1,2.3,1.8,1.1,0.8,2.9,24.1,0,0,0.6,Forward
De'Anthony Melton,BKN,26,6,4,2,20.2,10.3,3.7,9.0,40.7,2.2,5.8,37.1,0.8,1.3,62.5,1.0,2.3,3.3,2.8,1.7,1.2,0.3,3.0,21.4,1,0,4.5,Guard
Patrick Williams,CHI,23,23,11,12,27.1,10.3,3.6,9.0,39.6,1.9,5.0,38.6,1.3,1.4,87.9,0.9,3.5,4.3,2.1,1.5,0.9,0.6,1.3,21.7,1,0,-5.1,Forward
Chris Boucher,TOR,31,29,7,22,18.1,10.3,3.7,7.9,46.5,1.2,3.8,30.6,1.8,2.3,78.8,1.4,3.0,4.4,0.7,0.8,0.6,0.7,1.4,19.7,1,0,-1.8,Forward
Ty Jerome,CLE,27,31,27,4,17.7,10.3,3.7,7.5,50.0,1.4,3.3,41.7,1.4,1.5,89.6,0.6,1.4,2.0,3.5,1.1,1.2,0.0,1.5,20.5,0,0,3.3,Guard-Forward
Dalton Knecht,LAL,23,31,18,13,22.7,10.2,3.8,8.0,47.4,1.7,4.7,36.7,0.9,1.2,77.8,0.6,2.9,3.5,1.1,0.5,0.4,0.1,1.3,17.0,0,0,-1.0,Forward
Derrick Jones Jr.,LAC,27,30,18,12,24.9,10.0,4.0,7.9,50.0,1.1,2.9,37.5,1.0,1.1,88.2,1.2,2.2,3.3,1.0,1.0,1.3,0.4,2.1,19.6,0,0,0.9,Forward
Tim Hardaway Jr.,DET,32,29,12,17,27.2,10.0,3.3,7.9,41.9,1.9,5.3,36.1,1.4,1.7,87.5,0.2,1.8,2.0,1.6,0.7,0.3,0.0,1.3,15.1,0,0,-4.4,Guard-Forward
Donte DiVincenzo,MIN,27,31,17,14,25.3,9.9,3.4,8.7,38.9,2.4,6.6,35.6,0.8,1.0,80.6,0.4,3.0,3.4,3.4,1.6,1.2,0.2,1.5,21.7,0,0,0.9,Guard
Goga Bitadze,ORL,25,29,19,10,24.7,9.9,4.2,6.4,65.6,0.0,0.5,7.1,1.5,2.0,74.1,3.0,5.4,8.5,2.1,1.5,0.9,1.7,2.5,29.4,13,0,3.0,Center-Forward
Amir Coffey,LAC,27,31,19,12,24.4,9.9,3.5,7.1,48.9,1.6,3.7,42.6,1.4,1.7,84.6,0.5,2.1,2.6,1.2,0.7,0.5,0.1,1.6,15.9,0,0,0.6,Guard-Forward
Kevin Porter Jr.,LAC,24,28,16,12,20.1,9.9,4.0,9.6,41.5,0.7,2.6,25.7,1.2,1.8,64.7,0.7,2.9,3.6,3.0,2.3,1.0,0.3,1.8,20.2,0,0,-0.9,Guard-Forward
Miles McBride,NYK,24,28,19,9,24.5,9.8,3.4,8.1,42.5,1.9,4.7,40.2,1.0,1.3,80.0,0.8,1.9,2.6,3.0,0.9,0.9,0.2,1.6,19.9,0,0,4.9,Guard
Jaden McDaniels,MIN,24,31,17,14,29.7,9.7,3.9,9.0,43.4,1.1,3.7,30.7,0.7,1.1,69.7,1.5,3.1,4.5,1.7,1.0,1.4,0.8,3.1,23.1,2,0,-1.5,Forward
Clint Capela,ATL,30,33,18,15,23.0,9.6,4.3,7.4,58.0,0.0,0.0,0.0,1.0,1.9,54.0,3.4,5.7,9.2,1.3,0.9,0.6,1.0,2.0,26.5,7,0,1.4,Center
Kevin Huerter,SAC,26,28,12,16,25.2,9.6,3.6,8.4,43.4,1.8,5.6,31.0,0.6,0.8,69.6,0.5,3.0,3.5,2.0,1.0,1.0,0.5,2.2,20.3,0,0,-0.1,Guard-Forward
Luguentz Dort,OKC,25,30,25,5,29.3,9.6,3.3,8.2,39.8,2.1,5.5,38.6,0.9,1.2,80.0,1.5,3.1,4.6,1.6,0.5,1.2,0.8,3.1,22.8,0,0,7.2,Guard
Guerschon Yabusele,PHI,29,29,12,17,23.5,9.6,3.5,7.0,49.5,1.4,3.7,38.9,1.2,1.8,65.4,1.7,3.5,5.2,1.8,1.3,0.8,0.4,2.6,20.7,1,0,-0.3,Forward
Larry Nance Jr.,ATL,31,15,6,9,19.4,9.5,3.7,6.3,58.5,1.7,3.3,52.0,0.5,0.5,87.5,1.1,3.2,4.3,1.6,0.7,1.1,0.7,1.5,21.7,2,0,-4.4,Forward-Center
Dalano Banton,POR,25,25,7,18,16.5,9.5,3.4,8.1,42.1,1.2,3.5,35.6,1.5,2.2,66.1,0.4,1.9,2.2,2.6,1.7,0.9,0.5,1.1,18.6,0,0,1.3,Forward
Chris Paul,SAS,39,32,16,16,29.1,9.5,3.1,7.5,41.7,1.7,4.8,35.5,1.5,1.6,98.0,0.5,3.7,4.1,8.4,1.8,1.5,0.2,1.8,30.2,9,0,3.8,Guard
Nic Claxton,BKN,25,26,8,18,25.6,9.4,4.1,7.3,56.3,0.0,0.3,12.5,1.2,2.3,50.8,2.0,5.4,7.4,2.0,1.3,0.9,1.2,2.2,26.2,5,0,-4.0,Center
Yves Missi,NOP,20,32,5,27,26.9,9.4,3.8,6.8,55.0,0.0,0.0,0.0,1.9,2.9,64.9,3.9,4.7,8.5,1.4,1.2,0.7,1.4,2.3,26.8,7,0,-7.2,Center
Gary Trent Jr.,MIL,25,28,16,12,24.9,9.4,3.3,7.9,41.8,2.0,5.0,39.7,0.8,0.9,88.5,0.2,2.0,2.2,0.9,0.7,1.0,0.0,2.1,15.8,0,0,-0.7,Guard
Nickeil Alexander-Walker,MIN,26,31,17,14,23.4,9.4,3.4,6.9,49.5,1.7,3.9,43.4,0.8,1.1,76.5,0.5,2.2,2.7,2.5,1.4,0.9,0.3,1.6,18.6,1,0,3.7,Guard
Jay Huff,MEM,27,29,19,10,15.2,9.3,3.3,6.3,52.2,1.7,4.0,41.4,1.1,1.5,76.7,0.6,2.1,2.7,0.8,0.7,0.3,1.1,1.7,17.3,0,0,-0.1,Center
Nick Richards,CHA,27,17,3,14,21.9,9.3,3.2,5.6,56.8,0.0,0.1,0.0,2.9,4.5,65.8,2.3,5.5,7.8,1.2,1.7,0.4,1.2,2.7,23.6,4,0,-5.2,Center
Jalen Duren,DET,21,29,13,16,24.8,9.3,3.8,5.4,69.0,0.0,0.0,0.0,1.8,2.9,60.7,3.0,6.1,9.1,2.3,2.0,0.5,1.1,3.2,26.7,10,0,-4.4,Center
Quentin Grimes,DAL,24,30,19,11,21.3,9.3,3.2,6.7,47.5,1.6,3.8,42.1,1.3,1.7,73.1,0.8,3.1,3.9,1.6,1.1,0.7,0.2,1.7,17.9,0,0,2.8,Guard
Caleb Martin,PHI,29,24,9,15,29.6,9.3,3.2,7.6,42.3,1.1,2.9,37.1,1.8,2.7,64.6,1.5,3.1,4.5,2.1,1.6,1.0,0.5,1.9,20.6,1,0,-5.7,Forward
Aaron Nesmith,IND,25,6,2,4,22.7,9.2,3.2,6.0,52.8,1.0,1.8,54.5,1.8,2.2,84.6,0.7,3.3,4.0,1.0,0.8,0.7,0.3,4.0,17.6,0,0,-1.5,Guard-Forward
Marcus Smart,MEM,30,18,11,7,21.2,9.2,2.9,7.9,37.3,1.6,4.8,33.3,1.7,2.0,83.3,0.8,1.6,2.3,3.8,1.9,1.3,0.3,1.7,20.7,0,0,4.6,Guard
